Instances,CCASat,clasp,lingeling,glucose,sinn
Crafted/12/SATCompetition2011/crafted/SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m37-q505.75-n35-p15-s48276711.cnf.gz,717.005,900,900,900,900
Crafted/12/sc2012HardCombinatorial/satcomp11-main-track-unselected/SAT11/crafted/skvortsov/battleship/battleship-43-85-sat.cnf.gz,544.676,900,900,900,900
Crafted/12/SATCompetition2011/crafted/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-18_312.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2011/crafted/SAT09/CRAFTED/modcircuits/mod4block_3vars_7gates.cnf.gz,900,900,900,900,900
Crafted/12/Submissions/Combinatorial/sgen4-sat2012-sat/sgen4-sat-220-8.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2007/crafted/Hard/contest04/connamacher/connm-ue-csp-sat-n800-d0.02-s925928766.sat05-538.reshuffled-07.cnf.gz,900,538.014,900,900,900
Crafted/12/SATChallenge2012_crafted_debugged/hole10.cnf.mis-98.debugged.cnf.gz,900,3.56078,8.34887,2.40276,3.6482
Crafted/12/SATCompetition2011/crafted/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_406.cnf.gz,900,681.026,900,900,900
Crafted/12/sc2012HardCombinatorial/SATChallenge2012_submitted/combinatorial_sat/EnsembleComputation/jkkk-one-one-11-38-sat.cnf.gz,900,253.546,758.224,900,900
Crafted/12/SATCompetition2011/crafted/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-4-4_511.cnf.gz,6.5853,900,900,900,900
Crafted/12/SATCompetition2007/crafted/Hard/contest05/QG/QG7-dead-dnd002.sat05-3108.reshuffled-07.cnf.gz,900,503.048,900,900,900
Crafted/12/SATCompetition2007/crafted/Medium/contest05/sabharwal/unsat-logistics-rotate-09t5.sat05-1139.reshuffled-07.cnf.gz,900,8.64403,17.8234,19.684,44.3911
Crafted/09/CRAFTED/SAT07/crafted/Hard/contest04/connamacher/connm-ue-csp-sat-n800-d0.02-s111845174.sat05-536.reshuffled-07.cnf.gz,900,900,900,900,900
Crafted/12/SATChallenge2012_crafted_debugged/pret150_75.cnf.mis-99.debugged.cnf.gz,900,900,900,900,900
Crafted/12/Submissions/Random/fixed-shape-forced-300-354-2-2-3-2/fsf-300-354-2-2-3-2.75.opt.cnf.gz,2.94572,900,900,900,900
Crafted/11/04/marijn/equilarge-l/equilarge_l2.used-as.sat04-894.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2011/application/SAT04/industrial/vangelder/cnf-color/abb313GPIA-9-c.used-as.sat04-317.cnf.gz,2.67622,900,900,900,900
Crafted/12/sc2012HardCombinatorial/satrace-unselected/er/urq35.cnf.gz,900,38.8176,0.0199299,40.1942,45.2629
Crafted/12/sc2012HardCombinatorial/satcomp09-main-track-unselected/crafted/SAT09/CRAFTED/sgi/satsgi-n25himBHm28-p0-q293.cnf.gz,0.0431091,0.0517111,0.132001,0.095382,0.0264491
Crafted/11/11/mosoi/289/289-sat-11x10.cnf.gz,0.0384079,0.130298,0.106576,0.151483,0.0924429
Crafted/11/11/skvortsov/automata-synchronization/crn_40_1520_u.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2009/crafted/SAT09/CRAFTED/modcircuits/mod3_4vars_6gates.cnf.gz,900,256.628,468.848,390.485,445.736
Crafted/12/SATCompetition2007/crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n800-d0.04-s362703357.sat05-548.reshuffled-07.cnf.gz,900,224.055,690.346,289.968,534.481
Crafted/12/sc2012HardCombinatorial/satcomp09-main-track-unselected/crafted/SAT09/CRAFTED/sgen/sat/sgen1-sat-120-100.cnf.gz,2.1303,9.46103,8.41301,36.0309,0.961279
Crafted/09/CRAFTED/SAT09/CRAFTED/ramseycube/Q3inK13.cnf.gz,900,900,900,900,900
