Instances,smodels/default-n1,claspInternal/crafted-n1,cmodels/default-n1
ASPExtended/ASP-Comp-2011-Lparse/10-SokobanDecision/49-sokoban_decision-0-0.asp.gz,900,124.045,900
ASPExtended/HamiltonianCycle/rand_100_800_1155012316_9.gph.lp.gz,900,0.04446,0.799195
ASPExtended/HamiltonianPath/gryzzles.20.lp.gz,0.239735,0.024279,0.178612
ASPExtended/ASP-Comp-2009-Lparse/CompSchurNumbers/20.10.schur.lp.gz,0.806195,0.097391,0.232263
ASPExtended/laby/laby_13_13_01.lp.gz,900,3.90195,12.661
ASPExtended/hardwareASP/hard_inst_9_8_2565.gr.gz,900,900,74.5506
ASPExtended/laby/laby_21_21_13.lp.gz,900,900,900
ASPExtended/hardwareASP/hard_inst_10_10_4412.gr.gz,900,900,137.486
ASPExtended/planning/dispose/p03_09.lp-18-7247.sm.gz,900,900,194.18
ASPExtended/ASP-Comp-2009-Lparse/CompSokoban/duthen-990602.76.steps.13.asp.gz,43.9523,0.227494,1.28807
ASPExtended/ASP-Comp-2009-Lparse/CompHamiltonianPath/gryzzles.22.lp.gz,7.66396,0.032121,0.104703
ASPExtended/RicochetRobots/robo3.lp.gz,367.369,561.485,10.4055
ASPExtended/laby/laby_20_20_08.lp.gz,900,235.012,900
ASPExtended/ASP-Comp-2009-Lparse/CompGraphColouring/graph-colouring-nodes=130-density=0.1-instance=3.gz,900,900,900
ASPExtended/planning/dispose/p03_01.lp-16-905.sm.gz,900,114.288,25.5874
ASPExtended/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700165461_0.gph.gz,23.3842,0.667468,4.95561
ASPExtended/WeightedSpanningTree/209_rand_45_138_1119566817_0.gph.lp.gz,900,0.852195,3.4547
ASPExtended/HamiltonClumpy/22/clumpy-22x22_04.sm.gz,900,0.186034,36.1857
ASPExtended/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/gryzzles.41.gz,17.2549,0.038669,0.417221
ASPExtended/TowersOfHanoiCompetition/mgs_towers-hanoi.16_50.6.lp.gz,169.143,5.82948,5.36173
ASPExtended/WeightBoundedDominatingSetSuite/rand_200_800_1159728969_4.gph.lp.gz,900,1.483,424.424
ASPExtended/Sokoban-Hard/handmade_soko043.lp-17-8747.sm.gz,900,900,900
ASPExtended/TowersOfHanoiCompetition/mgs_towers-hanoi.27_7.lp.gz,9.35005,0.214644,0.4028
ASPExtended/RicochetRobots/rr13-09.sm.gz,900,900,81.8369
ASPExtended/SocialGolfer/csp010-SocialGolfer_w6_g5_s2.dlv.dat.lp.lp.gz,0.042807,0.024771,0.0699771
ASPExtended/searchTest-verbose/stv_sequence3-ss1.lp.gz,3.04554,1.79748,9.07878
ASPExtended/ASP-Comp-2007-Lparse/SLparse/KnightsTour/knights_15_15_t9.lp.gz,0.40101,0.067421,0.611646
ASPExtended/graph_colouring/graph-colouring-nodes=150-density=0.1-instance=4.sm.gz,900,900,900
